id,text,category
0,好东西，峰哥辛苦了,0
1,"[CQ:reply,id=1515437902]公改班的话难度不大（个人感觉）",0
2,好的好的,0
3,"欢迎新人[CQ:face,id=178]",0
4,好的哥,0
5,"[CQ:reply,id=1407540508]他是这么说的",0
6,我想开摆,0
7,听说有机器?,0
8,今年刚加的,0
9,通知在哪儿看啊,0
10,咱们有社会实践的群吗？,0
11,今晚看电影,0
12,"[CQ:face,id=32][CQ:face,id=311]",0
13,但是常宝荣上面给的最后分构成没有随堂测试,0
14,哪一门不是这样,0
15,张佼说她随堂测不算分,0
16,请问万良田老师人好吗,0
17,"[CQ:reply,id=906559680][CQ:at,qq=2412211399] 讲座吧[CQ:at,qq=2412211399]",0
18,四舍租半天电脑，一直到明天早上,0
19,"[CQ:reply,id=-2138681768][CQ:at,qq=1034456463] [CQ:at,qq=1034456463] 忙死",0
20,不知道为啥冒出来个一学期一测,0
21,他那意思上学期及格就不用去了,0
22,那可能是我以前登过,0
23,matlab,0
24,校园网没事啊,0
25,宿舍里也有,0
26,珍爱毕设远离徐教务,0
27,因为要跟着主校的那个二维码啥的，都是机器录的,0
28,但是老师给分高,0
29,应该还是正常闭卷考吧,0
30,甚至都没有卷,0
31,最近两次没刷,0
32,反正也不录进去,0
33,"[CQ:reply,id=-1622829710][CQ:at,qq=3356714195] 离大谱",0
34,不止你,0
35,确实,0
36,我任何体测项目的任何成绩全都没有录上,0
37,选修挂科影响出国？,0
38,没有就不用,0
39,是不是填串了,0
40,"拿着工资不干人事儿。[CQ:face,id=36]真tm的恶心",0
41,会拖你的分数,0
42,在不去测的情况下,0
43,不影响毕业就不去了,0
44,还有一些评优之类的,0
45,坐在寝室完成了体测,0
46,还是要去一下的,0
47,管他的，到时候再说,0
48,这不是能扯皮?,0
49,还有一点是软院好像辅导员没通知这个吧,0
50,对啊,0
51,就是体育满分100，体测占10分好像是,0
52,不会。。审核是学生,0
53,他说没有补测,0
54,不及格就取消你资格呗,0
55,但我去不了,0
56,只不过去年疫情,0
57,别尬黑,0
58,话说体测不合格会怎样（,0
59,之前都是乱填,0
60,会不会很难,0
61,你说影响不,0
62,"[CQ:reply,id=-931071250][CQ:at,qq=1034456463] [CQ:at,qq=1034456463] 来学生工",0
63,体测不及格没奖学金资格,0
64,"有人辅修过英语吗[CQ:face,id=297][CQ:face,id=297][CQ:face,id=297]",0
65,"[CQ:face,id=265]",0
66,问一下学长学姐推荐辅修嘛,0
67,离谱,0
68,那个我以为你出毛概。。,0
69,体测50来分可以毕业吗,0
70,"[CQ:face,id=5][CQ:face,id=5][CQ:face,id=5][CQ:face,id=5]",0
71,哪个难,0
72,还有早八考,0
73,教务都是傻狗,0
74,"[CQ:face,id=267]",0
75,为啥叫老虎斌斌,0
76,可以看看综一那个高数复习资料,0
77,"[CQ:face,id=277]?",0
78,这种人怎么当上教务的啊,0
79,第三，要想拓展视野可以看别的学校的教材或者是考研资料,0
80,但是你已经是一个大人了，你应该全都要,0
81,你沟通了个鸡巴呢?,0
82,"不买打印店的复习资料是因为都很烂吗还是网上都找得到[CQ:face,id=111]",0
83,我以前是邮局邮寄,0
84,友友们有人知道酷迪咖啡那个1元券在哪抢吗,0
85,物美价廉,0
86,直接走学院问,0
87,不过几乎学不到啥东西,0
88,得不偿失,0
89,这就是敷衍一下吗,0
90,多数辅修都坚持不下来,0
